Date,GOOG,AMZN,MSFT,AAPL,BLK,JPM,IAU
2000-01-03,,89.375,58.28125,0.9994419813156128,16.625,48.58333206176758,
2000-01-04,,81.9375,56.3125,0.9151790142059326,15.875,47.25,
2000-01-05,,69.75,56.90625,0.9285709857940674,15.75,46.95833206176758,
2000-01-06,,65.5625,55.0,0.8482139706611633,16.0,47.625,
2000-01-07,,69.5625,55.71875,0.888392984867096,15.875,48.5,
2000-01-10,,69.1875,56.125,0.872767984867096,16.0,47.66666793823242,
2000-01-11,,66.75,54.6875,0.828125,16.4375,46.54166793823242,
2000-01-12,,63.5625,52.90625,0.7784600257873535,17.125,46.83333206176758,
2000-01-13,,65.9375,53.90625,0.8638389706611633,16.9375,47.54166793823242,
2000-01-14,,64.25,56.125,0.896763026714325,17.5,49.25,
2000-01-18,,64.125,57.65625,0.928013026714325,18.0,47.33333206176758,
2000-01-19,,66.8125,53.5,0.9514510035514832,18.25,49.41666793823242,
2000-01-20,,64.75,53.0,1.0133930444717407,17.5,49.375,
2000-01-21,,62.0625,51.875,0.993861973285675,17.375,48.625,
2000-01-24,,70.125,50.625,0.9486610293388367,17.125,48.66666793823242,
2000-01-25,,69.25,51.40625,1.0022319555282593,17.25,49.75,
2000-01-26,,64.8125,49.6875,0.9838169813156128,17.4375,52.29166793823242,
2000-01-27,,66.9375,49.375,0.982142984867096,17.5,53.79166793823242,
2000-01-28,,61.6875,49.125,0.9073659777641296,17.375,51.125,
2000-01-31,,64.5625,48.9375,0.9263389706611633,17.5,53.79166793823242,
2000-02-01,,67.4375,51.46875,0.8950889706611633,17.75,55.83333206176758,
2000-02-02,,69.4375,50.40625,0.8822540044784546,17.9375,54.91666793823242,
2000-02-03,,84.1875,51.8125,0.9224330186843872,18.0,55.45833206176758,
2000-02-04,,78.5625,53.28125,0.9642860293388367,18.4375,54.5,
2000-02-07,,75.0,53.3125,1.0184149742126465,18.5,54.79166793823242,
2000-02-08,,83.125,54.96875,1.025670051574707,18.5625,56.70833206176758,
2000-02-09,,80.25,52.0,1.005579948425293,18.375,55.25,
2000-02-10,,76.1875,53.0,1.0133930444717407,17.875,55.41666793823242,
2000-02-11,,76.1875,49.96875,0.970982015132904,17.9375,55.08333206176758,
2000-02-14,,74.4375,49.8125,1.0340399742126465,18.0,52.70833206176758,
2000-02-15,,73.8125,49.28125,1.0625,17.875,54.04166793823242,
2000-02-16,,70.6875,48.8125,1.0189729928970337,18.5,53.0,
2000-02-17,,69.0,49.8125,1.025670051574707,18.375,52.25,
2000-02-18,,64.75,47.53125,0.9933040142059326,18.5,49.83333206176758,
2000-02-22,,63.5625,46.90625,1.0161830186843872,18.5625,51.5,
2000-02-23,,70.4375,47.125,1.0379459857940674,18.8125,51.58333206176758,
2000-02-24,,68.4375,47.375,1.0285990238189697,19.0,50.66666793823242,
2000-02-25,,69.125,45.65625,0.9854909777641296,19.25,50.58333206176758,
2000-02-28,,65.75,45.78125,1.011160969734192,20.125,51.95833206176758,
2000-02-29,,68.875,44.6875,1.0234379768371582,21.875,53.08333206176758,
2000-03-01,,65.875,45.40625,1.1635040044784546,21.75,54.66666793823242,
2000-03-02,,62.5625,46.6875,1.089285969734192,22.0625,53.70833206176758,
2000-03-03,,62.5,48.0625,1.1428569555282593,22.125,54.08333206176758,
2000-03-06,,63.9375,45.3125,1.1222100257873535,22.0625,55.625,
2000-03-07,,63.5,46.4375,1.0970979928970337,22.0,54.54166793823242,
2000-03-08,,63.625,47.78125,1.089285969734192,22.0,52.66666793823242,
2000-03-09,,68.8125,50.0,1.0915180444717407,22.0,54.08333206176758,
2000-03-10,,66.875,50.5,1.1227680444717407,22.125,52.45833206176758,
2000-03-13,,65.3125,49.0,1.0831470489501953,22.875,53.375,
2000-03-14,,65.625,47.5625,1.020089030265808,22.875,52.66666793823242,
2000-03-15,,63.75,47.6875,1.0379459857940674,24.125,55.41666793823242,
2000-03-16,,66.25,47.6875,1.0853790044784546,24.375,60.08333206176758,
2000-03-17,,64.8125,49.6875,1.1160709857940674,24.75,60.66666793823242,
2000-03-20,,64.1875,48.6875,1.098214030265808,24.0,57.70833206176758,
2000-03-21,,72.375,51.375,1.2047990560531616,24.0,61.33333206176758,
2000-03-22,,70.6875,51.625,1.2873879671096802,22.625,61.04166793823242,
2000-03-23,,67.6875,55.9375,1.261718988418579,22.5,65.66666412353516,
2000-03-24,,72.6875,55.84375,1.238281011581421,22.4375,64.125,
2000-03-27,,73.125,52.03125,1.246093988418579,22.0625,63.125,
2000-03-28,,70.125,52.15625,1.2421879768371582,20.0,62.83333206176758,
2000-03-29,,66.25,53.59375,1.2137279510498047,19.75,60.25,
2000-03-30,,66.5,51.6875,1.1227680444717407,20.4375,58.0,
2000-03-31,,67.0,53.125,1.2126120328903198,20.25,58.125,
2000-04-03,,63.5625,45.4375,1.1902899742126465,20.625,61.66666793823242,
2000-04-04,,63.9375,44.28125,1.136718988418579,20.75,57.83333206176758,
2000-04-05,,62.1875,43.1875,1.1640629768371582,21.4375,57.58333206176758,
2000-04-06,,64.25,43.0,1.1177459955215454,22.375,58.29166793823242,
2000-04-07,,67.5625,44.53125,1.176339030265808,24.25,57.58333206176758,
2000-04-10,,63.375,43.03125,1.1160709857940674,24.0,58.75,
2000-04-11,,63.375,41.9375,1.066406011581421,24.0625,57.33333206176758,
2000-04-12,,56.375,39.6875,0.9754459857940674,23.875,57.875,
2000-04-13,,48.0,39.625,1.0161830186843872,23.375,56.33333206176758,
2000-04-14,,46.875,37.0625,0.9988840222358704,23.0,52.58333206176758,
2000-04-17,,47.0625,37.9375,1.1060270071029663,22.4375,52.41666793823242,
2000-04-18,,54.9375,40.28125,1.1328129768371582,21.9375,53.66666793823242,
2000-04-19,,53.4375,39.34375,1.0814729928970337,21.0,52.0,
2000-04-20,,52.375,39.46875,1.0613839626312256,21.125,51.54166793823242,
2000-04-24,,49.8125,33.3125,1.0758930444717407,21.625,49.83333206176758,
2000-04-25,,52.4375,34.6875,1.1456470489501953,24.0,52.04166793823242,
2000-04-26,,53.5,34.0,1.0831470489501953,24.125,50.95833206176758,
2000-04-27,,52.875,34.90625,1.1316959857940674,24.3125,49.25,
2000-04-28,,55.1875,34.875,1.1077009439468384,26.0,48.08333206176758,
2000-05-01,,59.9375,36.71875,1.1099330186843872,24.0,49.16666793823242,
2000-05-02,,56.125,34.9375,1.052454948425293,23.8125,50.75,
2000-05-03,,54.125,35.28125,1.027343988418579,24.25,49.5,
2000-05-04,,55.0625,35.21875,0.9882810115814209,23.625,48.83333206176758,
2000-05-05,,58.5,35.5625,1.010045051574707,23.6875,48.125,
2000-05-08,,56.015625,34.90625,0.9832590222358704,24.0,48.0,
2000-05-09,,56.25,33.90625,0.9414060115814209,24.375,47.25,
2000-05-10,,53.3125,33.09375,0.8867189884185791,25.0625,45.83333206176758,
2000-05-11,,54.875,33.9375,0.9179689884185791,25.25,46.66666793823242,
2000-05-12,,53.75,34.40625,0.9609379768371582,25.75,47.75,
2000-05-15,,56.0625,34.6875,0.9017860293388367,25.75,49.75,
2000-05-16,,59.0625,34.75,0.943638026714325,26.25,49.5,
2000-05-17,,61.0,33.84375,0.9051340222358704,26.375,49.33333206176758,
2000-05-18,,55.375,33.09375,0.8995540142059326,26.1875,50.08333206176758,
2000-05-19,,52.625,32.53125,0.8392860293388367,26.125,48.33333206176758,
2000-05-22,,51.875,32.09375,0.803013026714325,25.8125,48.125,
2000-05-23,,46.6875,31.59375,0.7661830186843872,23.75,48.75,
2000-05-24,,48.5625,32.78125,0.7829239964485168,23.25,47.75,
2000-05-25,,45.5,30.75,0.7791569828987122,23.375,46.83333206176758,
2000-05-26,,46.5,30.71875,0.7712050080299377,23.25,47.0,
2000-05-30,,51.75,31.6875,0.7818080186843872,23.25,49.0,
2000-05-31,,48.3125,31.28125,0.75,24.0625,49.79166793823242,
2000-06-01,,50.1875,32.28125,0.7957590222358704,24.375,51.41666793823242,
2000-06-02,,57.875,33.15625,0.8264510035514832,25.75,53.79166793823242,
2000-06-05,,54.5,33.4375,0.8152899742126465,26.875,52.91666793823242,
2000-06-06,,50.5625,34.8125,0.8292409777641296,26.4375,51.33333206176758,
2000-06-07,,51.8125,35.25,0.8621649742126465,25.9375,51.25,
2000-06-08,,51.875,34.40625,0.8465399742126465,25.4375,51.0,
2000-06-09,,52.1875,34.40625,0.8549110293388367,25.4375,48.875,
2000-06-12,,48.4375,33.4375,0.8141739964485168,25.25,48.59375,
2000-06-13,,49.0,33.9375,0.84375,26.0,48.1875,
2000-06-14,,46.4375,35.25,0.8074780106544495,26.8125,50.0625,
2000-06-15,,46.3125,36.1875,0.8247770071029663,27.5,48.8125,
2000-06-16,,46.0,36.28125,0.8141739964485168,29.0,45.4375,
2000-06-19,,45.3125,36.84375,0.8627229928970337,28.8125,46.875,
2000-06-20,,46.125,37.46875,0.904017984867096,28.4375,47.9375,
2000-06-21,,46.0625,40.34375,0.9933040142059326,29.25,47.0,
2000-06-22,,42.0,39.9375,0.9598209857940674,30.875,46.375,
2000-06-23,,33.875,38.84375,0.9229909777641296,30.1875,46.875,
2000-06-26,,33.9375,39.75,0.966517984867096,31.0,47.5625,
2000-06-27,,36.5,39.40625,0.924107015132904,32.375,47.9375,
2000-06-28,,37.875,39.46875,0.9720979928970337,35.0,47.046875,
2000-06-29,,37.125,38.59375,0.9151790142059326,32.625,47.625,
2000-06-30,,36.3125,40.0,0.935267984867096,29.0,46.0625,
2000-07-03,,37.0,40.0,0.9520090222358704,29.25,47.5625,
2000-07-05,,36.5,39.25,0.921875,29.375,47.75,
2000-07-06,,36.0625,40.46875,0.9252229928970337,28.875,48.0,
2000-07-07,,36.125,41.0,0.9720979928970337,29.75,50.0625,
2000-07-10,,35.0625,39.71875,1.020089030265808,32.0,49.75,
2000-07-11,,33.125,39.5625,1.0167410373687744,33.375,50.6875,
2000-07-12,,35.0625,40.15625,1.051339030265808,34.25,50.5625,
2000-07-13,,35.0,39.96875,1.0089290142059326,33.6875,50.75,
2000-07-14,,42.625,39.46875,1.0301339626312256,33.875,52.5,
2000-07-17,,41.125,39.09375,1.041295051574707,33.0625,52.03125,
2000-07-18,,41.75,39.25,1.0223209857940674,32.3125,50.9375,
2000-07-19,,40.875,36.5625,0.9408479928970337,32.125,50.6875,
2000-07-20,,40.3125,37.40625,0.984375,32.5625,51.3125,
2000-07-21,,41.125,36.15625,0.9564729928970337,33.8125,52.734375,
2000-07-24,,38.75,35.28125,0.8694199919700623,34.0625,51.5625,
2000-07-25,,37.625,34.5,0.8939729928970337,33.75,51.25,
2000-07-26,,36.0625,33.90625,0.8939729928970337,34.0625,49.375,
2000-07-27,,31.375,34.6875,0.9285709857940674,34.0625,49.875,
2000-07-28,,30.0,34.84375,0.8627229928970337,34.0,48.375,
2000-07-31,,30.125,34.90625,0.9073659777641296,33.75,49.8125,
2000-08-01,,30.25,34.34375,0.8805800080299377,33.625,51.625,
2000-08-02,,30.8125,34.6875,0.84375,33.5625,51.4375,
2000-08-03,,31.5,35.125,0.857142984867096,33.625,50.25,
2000-08-04,,32.5,34.5625,0.845982015132904,33.75,52.4375,
2000-08-07,,33.8125,35.0,0.8560270071029663,32.375,53.5625,
2000-08-08,,32.9375,37.0625,0.8348209857940674,32.875,53.5,
2000-08-09,,30.875,37.125,0.8482139706611633,33.875,52.3125,
2000-08-10,,30.4375,36.3125,0.8493300080299377,33.625,51.875,
2000-08-11,,33.6875,36.21875,0.8515629768371582,33.3125,52.0,
2000-08-14,,34.875,36.09375,0.8404020071029663,33.5,52.75,
2000-08-15,,37.5625,35.8125,0.8337050080299377,33.375,51.8125,
2000-08-16,,38.625,35.5,0.8660709857940674,33.6875,50.375,
2000-08-17,,38.25,35.78125,0.9185270071029663,34.75,50.6875,
2000-08-18,,39.0,35.5,0.892857015132904,34.625,50.75,
2000-08-21,,37.5,35.3125,0.9017860293388367,34.875,50.9375,
2000-08-22,,36.5,35.625,0.9229909777641296,35.375,52.75,
2000-08-23,,38.8125,35.375,0.9698659777641296,34.75,54.3125,
2000-08-24,,39.375,35.5625,1.0019530057907104,35.0,53.25,
2000-08-25,,39.9375,35.3125,1.0145089626312256,35.3125,52.0625,
2000-08-28,,39.125,35.65625,1.036829948425293,35.3125,52.6875,
2000-08-29,,39.625,35.46875,1.056920051574707,38.125,51.875,
2000-08-30,,42.9375,35.0,1.0625,38.0,53.25,
2000-08-31,,41.5,34.90625,1.088170051574707,41.0,55.875,
2000-09-01,,41.5,35.09375,1.1328129768371582,41.6875,56.3125,
2000-09-05,,45.6875,35.0625,1.114954948425293,41.5,57.125,
2000-09-06,,45.875,34.71875,1.0435270071029663,40.4375,56.0,
2000-09-07,,43.5,35.03125,1.1071430444717407,36.625,57.25,
2000-09-08,,42.9375,34.65625,1.051339030265808,37.0,57.8125,
2000-09-11,,42.375,34.40625,1.0435270071029663,38.625,57.5,
2000-09-12,,42.6875,34.0625,1.03125,38.875,52.8125,
2000-09-13,,42.4375,34.125,1.035714030265808,38.9375,50.6875,
2000-09-14,,44.875,32.90625,1.0153460502624512,38.625,50.0,
2000-09-15,,43.625,32.09375,0.9863280057907104,38.0,49.125,
2000-09-18,,42.8125,31.5,1.0831470489501953,38.0,46.5625,
2000-09-19,,40.75,32.5,1.0703129768371582,38.375,46.875,
2000-09-20,,37.5,32.125,1.0901230573654175,38.25,46.5,
2000-09-21,,40.0625,32.09375,1.0122770071029663,36.5,44.625,
2000-09-22,,41.4375,31.625,0.9319199919700623,34.625,47.25,
2000-09-25,,40.375,30.625,0.955357015132904,35.625,47.0,
2000-09-26,,39.75,31.34375,0.9185270071029663,35.3125,46.0625,
2000-09-27,,37.875,30.3125,0.8738840222358704,34.75,45.5,
2000-09-28,,40.0,30.65625,0.955357015132904,33.5625,46.875,
2000-09-29,,38.4375,30.15625,0.4598209857940674,32.0,46.1875,
2000-10-02,,35.875,29.5625,0.4330359995365143,33.0,47.5,
2000-10-03,,35.0625,28.28125,0.3984380066394806,35.0,46.75,
2000-10-04,,36.0,27.71875,0.421875,35.125,45.5625,
2000-10-05,,33.5625,27.6875,0.3939729928970337,36.8125,44.4375,
2000-10-06,,31.5625,27.78125,0.39620500802993774,37.0,42.875,
2000-10-09,,30.0625,27.09375,0.38839301466941833,37.375,42.0625,
2000-10-10,,30.4375,27.28125,0.37276801466941833,37.75,40.8125,
2000-10-11,,27.8125,27.875,0.3504459857940674,36.0625,40.6875,
2000-10-12,,25.125,27.1875,0.35714301466941833,35.875,37.8125,
2000-10-13,,28.4375,26.875,0.3939729928970337,38.625,39.6875,
2000-10-16,,24.3125,25.1875,0.3839290142059326,39.875,39.5625,
2000-10-17,,21.9375,25.21875,0.359375,38.75,37.9375,
2000-10-18,,25.125,25.875,0.359375,41.625,36.875,
2000-10-19,,27.75,30.9375,0.33816999197006226,40.75,38.9375,
2000-10-20,,30.8125,32.59375,0.3482140004634857,42.0625,38.375,
2000-10-23,,30.0,31.0625,0.3638390004634857,41.375,38.375,
2000-10-24,,29.5625,30.75,0.3370540142059326,39.5,40.0625,
2000-10-25,,31.875,30.625,0.33035698533058167,40.5,40.0,
2000-10-26,,36.875,32.21875,0.33035698533058167,40.8125,40.0,
2000-10-27,,35.625,33.84375,0.3314729928970337,42.4375,42.6875,
2000-10-30,,32.875,34.53125,0.344866007566452,42.5,43.75,
2000-10-31,,36.625,34.4375,0.34933000802993774,42.625,45.5,
2000-11-01,,37.375,34.8125,0.3660709857940674,42.375,45.6875,
2000-11-02,,39.75,35.15625,0.3984380066394806,44.25,45.5,
2000-11-03,,37.5625,34.125,0.3973209857940674,43.6875,44.4375,
2000-11-06,,36.5625,34.75,0.3828130066394806,43.625,45.5,
2000-11-07,,36.9375,35.25,0.38058000802993774,43.6875,44.9375,
2000-11-08,,33.875,34.71875,0.358258992433548,43.5,43.5625,
2000-11-09,,31.25,35.4375,0.360491007566452,44.25,44.125,
2000-11-10,,30.0625,33.6875,0.3404020071029663,44.125,42.8125,
2000-11-13,,27.8125,33.21875,0.34598198533058167,42.5,42.125,
2000-11-14,,28.9375,34.40625,0.36160698533058167,43.375,42.5625,
2000-11-15,,29.5,35.03125,0.3549109995365143,45.125,40.75,
2000-11-16,,27.8125,34.46875,0.3392859995365143,46.0,40.875,
2000-11-17,,27.4375,34.53125,0.33035698533058167,46.5625,39.625,
2000-11-20,,25.8125,33.59375,0.33816999197006226,44.875,38.5625,
2000-11-21,,24.25,33.875,0.3359380066394806,41.75,38.6875,
2000-11-22,,25.1875,34.125,0.33035698533058167,41.5,37.4375,
2000-11-24,,28.9375,34.96875,0.344866007566452,42.5,39.125,
2000-11-27,,28.0,35.34375,0.33370500802993774,43.125,39.375,
2000-11-28,,25.03125,33.5,0.32198700308799744,43.875,38.0,
2000-11-29,,26.9375,32.53125,0.313616007566452,44.0,37.9375,
2000-11-30,,24.6875,28.6875,0.29464301466941833,43.625,36.875,
2000-12-01,,24.625,28.3125,0.3046880066394806,43.8125,37.3125,
2000-12-04,,26.5625,28.21875,0.297991007566452,42.75,37.9375,
2000-12-05,,25.375,29.9375,0.3035709857940674,44.0,41.3125,
2000-12-06,,23.625,28.34375,0.25558000802993774,45.0,40.0625,
2000-12-07,,21.375,26.5625,0.25558000802993774,45.4375,39.1875,
2000-12-08,,23.4375,27.21875,0.2689729928970337,47.5,40.0,
2000-12-11,,25.3125,29.03125,0.27120500802993774,47.125,42.5,
2000-12-12,,25.875,29.1875,0.2745540142059326,45.0,43.0,
2000-12-13,,23.75,28.625,0.26785698533058167,44.75,44.5,
2000-12-14,,22.6875,27.75,0.2578130066394806,44.25,42.875,
2000-12-15,,22.875,24.59375,0.251116007566452,43.1875,43.9375,
2000-12-18,,19.875,23.90625,0.2544640004634857,45.25,45.375,
2000-12-19,,18.25,22.40625,0.25,43.4375,44.8125,
2000-12-20,,16.6875,20.75,0.2566959857940674,41.75,43.5,
2000-12-21,,15.1875,21.71875,0.251116007566452,40.125,45.1875,
2000-12-22,,15.5625,23.21875,0.26785698533058167,38.5,45.625,
2000-12-26,,16.9375,23.4375,0.2622770071029663,39.3125,45.75,
2000-12-27,,16.875,23.21875,0.264508992433548,41.125,46.375,
2000-12-28,,17.375,22.28125,0.264508992433548,43.375,46.9375,
2000-12-29,,15.5625,21.6875,0.265625,42.0,45.4375,
2001-01-02,,13.875,21.6875,0.265625,40.0,44.0,
2001-01-03,,17.5625,23.96875,0.2924109995365143,39.8125,50.625,
2001-01-04,,15.5,24.21875,0.3046880066394806,39.375,52.0,
2001-01-05,,14.5625,24.5625,0.2924109995365143,35.75,48.9375,
2001-01-08,,14.9375,24.46875,0.295758992433548,36.5,49.25,
2001-01-09,,16.375,25.90625,0.30691999197006226,36.3125,48.6875,
2001-01-10,,16.5,26.4375,0.295758992433548,37.875,50.9375,
2001-01-11,,17.0,27.5,0.3214290142059326,36.625,54.125,
2001-01-12,,17.6875,26.75,0.30691999197006226,37.0,53.3125,
2001-01-16,,18.0625,26.28125,0.3058040142059326,38.0,53.1875,
2001-01-17,,18.375,26.46875,0.3002229928970337,40.25,53.0,
2001-01-18,,19.5,27.75,0.33370500802993774,40.375,51.4375,
2001-01-19,,19.9375,30.5,0.3482140004634857,39.8125,50.5625,
2001-01-22,,18.5,30.0625,0.34375,39.9375,50.875,
2001-01-23,,18.953125,30.28125,0.3660709857940674,40.3125,51.6875,
2001-01-24,,21.875,31.46875,0.3660709857940674,39.1875,53.25,
2001-01-25,,19.0,30.90625,0.3560270071029663,39.5,53.0625,
2001-01-26,,19.5,32.0,0.34933000802993774,39.5625,54.1875,
2001-01-29,,20.125,32.25,0.3872770071029663,41.25,55.119998931884766,
2001-01-30,,18.9375,31.6875,0.38839301466941833,40.790000915527344,55.97999954223633,
2001-01-31,,17.3125,30.53125,0.3861609995365143,39.91999816894531,54.9900016784668,
2001-02-01,,16.25,31.1875,0.37723198533058167,41.0,55.849998474121094,
2001-02-02,,14.375,30.40625,0.3683040142059326,42.5,54.63999938964844,
2001-02-05,,14.4375,30.96875,0.360491007566452,41.0,54.599998474121094,
2001-02-06,,15.8125,31.28125,0.37723198533058167,41.20000076293945,52.279998779296875,
2001-02-07,,15.0,32.34375,0.3705359995365143,42.86000061035156,52.33000183105469,
2001-02-08,,14.375,31.125,0.3705359995365143,43.0,51.68000030517578,
2001-02-09,,13.375,29.5625,0.34151801466941833,42.20000076293945,51.95000076293945,
2001-02-12,,14.5,29.375,0.3515630066394806,43.38999938964844,52.54999923706055,
2001-02-13,,13.75,29.09375,0.34151801466941833,43.599998474121094,51.13999938964844,
2001-02-14,,14.4375,29.1875,0.3482140004634857,43.099998474121094,51.189998626708984,
2001-02-15,,14.5,29.40625,0.358258992433548,43.400001525878906,51.11000061035156,
2001-02-16,,13.6875,28.65625,0.3392859995365143,42.099998474121094,51.9900016784668,
2001-02-20,,12.5,27.9375,0.327008992433548,39.400001525878906,49.95000076293945,
2001-02-21,,11.9375,28.125,0.3370540142059326,39.369998931884766,47.349998474121094,
2001-02-22,,11.9375,27.59375,0.3359380066394806,39.0099983215332,48.29999923706055,
2001-02-23,,11.8125,28.375,0.3359380066394806,39.75,47.04999923706055,
2001-02-26,,11.9375,29.78125,0.3482140004634857,42.099998474121094,48.54999923706055,
2001-02-27,,11.75,29.6875,0.34598198533058167,41.0,47.599998474121094,
2001-02-28,,10.1875,29.5,0.32589301466941833,39.400001525878906,46.65999984741211,
2001-03-01,,10.4375,29.6796875,0.3348209857940674,40.29999923706055,46.11000061035156,
2001-03-02,,10.0,28.34375,0.34375,40.5099983215332,45.79999923706055,
2001-03-05,,12.625,28.71875,0.3638390004634857,39.560001373291016,46.7599983215332,
2001-03-06,,11.875,29.71875,0.3839290142059326,39.599998474121094,47.959999084472656,
2001-03-07,,12.25,30.34375,0.3794640004634857,39.900001525878906,50.25,
2001-03-08,,11.6875,29.625,0.3716520071029663,39.95000076293945,50.2400016784668,
2001-03-09,,12.25,28.34375,0.36160698533058167,37.599998474121094,48.95000076293945,
2001-03-12,,10.625,25.96875,0.3325890004634857,38.029998779296875,45.4900016784668,
2001-03-13,,11.0,27.09375,0.34933000802993774,38.9900016784668,47.400001525878906,
2001-03-14,,10.625,27.0,0.36495500802993774,39.20000076293945,43.75,
2001-03-15,,10.875,26.84375,0.3515630066394806,38.7400016784668,45.2599983215332,
2001-03-16,,11.0,27.28125,0.3504459857940674,38.04999923706055,44.58000183105469,
2001-03-19,,10.5,27.15625,0.3671880066394806,37.95000076293945,45.150001525878906,
2001-03-20,,10.25,26.34375,0.3515630066394806,36.189998626708984,42.59000015258789,
2001-03-21,,10.0,25.03125,0.359375,35.95000076293945,40.20000076293945,
2001-03-22,,10.1875,27.0,0.3861609995365143,34.0,38.90999984741211,
2001-03-23,,10.1875,28.28125,0.4107140004634857,32.599998474121094,41.709999084472656,
2001-03-26,,10.9399995803833,28.03125,0.38892900943756104,33.25,42.11000061035156,
2001-03-27,,11.640000343322754,29.125,0.408392995595932,34.939998626708984,43.36000061035156,
2001-03-28,,10.800000190734863,27.78125,0.39589300751686096,35.5,42.54999923706055,
2001-03-29,,10.0,27.6875,0.4023210108280182,36.349998474121094,43.0,
2001-03-30,,10.229999542236328,27.34375,0.39410701394081116,36.0,44.900001525878906,
2001-04-02,,9.100000381469727,27.90625,0.38553598523139954,35.5,44.599998474121094,
2001-04-03,,8.630000114440918,26.6875,0.36142900586128235,34.75,41.599998474121094,
2001-04-04,,8.399999618530273,25.96875,0.3482140004634857,32.0,40.4900016784668,
2001-04-05,,9.119999885559082,28.375,0.3726789951324463,33.540000915527344,42.5,
2001-04-06,,8.369999885559082,28.09375,0.36767899990081787,33.20000076293945,40.38999938964844,
2001-04-09,,11.180000305175781,28.575000762939453,0.36678600311279297,33.70000076293945,40.41999816894531,
2001-04-10,,12.010000228881836,29.84000015258789,0.39357098937034607,34.79999923706055,43.29999923706055,
2001-04-11,,13.319999694824219,30.020000457763672,0.38928601145744324,36.400001525878906,44.7400016784668,
2001-04-12,,14.670000076293945,31.09000015258789,0.4003570079803467,34.220001220703125,45.369998931884766,
2001-04-16,,14.029999732971191,30.395000457763672,0.38285699486732483,31.81999969482422,45.5,
