ticker,units,price,value
KRBP,2943985,0.9285714285714286,0.0027337003571428573
MAYZ,105098,26.0,0.002732548
OAKMX,22980,118.8,0.002730024
FMAGX,181811,15.0,0.002727165
NSPI,111192,24.5,0.002724204
TAIT,884966,3.076923076923077,0.002722972307692308
LFGP,113438,24.0,0.002722512
GAZ,154639,17.6,0.0027216464000000004
LYSDY,403117,6.75,0.00272103975
OLB,1359283,2.0,0.002718566
SB1,2715000,1.0,0.002715
PDER,12758,212.33333333333334,0.002708948666666667
GFFFX,36663,73.8,0.0027057293999999997
GURU,65686,41.05882352941177,0.002696989882352941
CING,3226906,0.8333333333333334,0.0026890883333333337
WLMIF,86544,31.0,0.002682864
FMQQ,127747,21.0,0.002682687
CZNB,167400,16.0,0.0026784
PSCJ,131584,20.333333333333332,0.002675541333333333
FMFG,121368,22.0,0.002670096
FLM,53780,49.63636363636363,0.0026694436363636363
PIPNX,242417,11.0,0.002666587
KFYP,101214,26.333333333333332,0.002665302
BISOX,266421,10.0,0.00266421
USSPX,42971,62.0,0.002664202
SVT,249893,10.6,0.0026488657999999997
FBGRX,14470,183.0,0.00264801
SWAR,110311,24.0,0.002647464
SMURF,1316448,2.0,0.002632896
CRTD,1730649,1.5161290322580645,0.002623887193548387
SUBZ,302461,8.666666666666666,0.0026213286666666663
ABEMX,153209,17.0,0.002604553
VTCLX,10529,247.25,0.00260329525
PRSVX,42668,61.0,0.002602748
XRMI,102026,25.5,0.002601663
FSEA,358764,7.25,0.002601039
VOC,876799,2.962962962962963,0.0025979229629629627
CLIR,2842192,0.9090909090909091,0.002583810909090909
GGRW,100630,25.666666666666668,0.002582836666666667
EMBH,113449,22.75,0.00258096475
PPSI,486149,5.3076923076923075,0.0025803293076923075
ESALY,59786,43.1,0.0025767766
FLN,165737,15.533333333333333,0.0025744480666666666
EAST,2570301,1.0,0.002570301
EOCT,117577,21.8,0.0025631786
NURO,618176,4.133333333333334,0.0025551274666666666
BUD1,56778,45.0,0.00255501
BULZ,94480,27.0,0.00255096
COCXF,19,134105.0,0.002547995
JVLIX,112257,22.666666666666668,0.002544492
KIROY,282357,9.0,0.002541213
EAOA,79759,31.846153846153847,0.0025400173846153846
ASEA,193073,13.153846153846153,0.0025396525384615387
KBNT,1180846,2.1481481481481484,0.0025366321481481483
FLSA,72321,35.0,0.002531235
SMUUY,180465,14.0,0.00252651
CCNB,251992,10.0,0.00251992
KHYB,102825,24.5,0.0025192125
DDEJF,3772161,0.6666666666666666,0.002514774
MKTAY,68904,36.42857142857143,0.0025100742857142857
VSIAX,32904,76.25,0.00250893
CTEK,2640860,0.95,0.002508817
FKYS,104349,24.0,0.002504376
CHIC,134952,18.545454545454547,0.002502746181818182
ADIL,1400817,1.7857142857142858,0.0025014589285714288
PHUN1,250048,10.0,0.00250048
PSMB,162999,15.333333333333334,0.002499318
RNECY,415636,6.0,0.002493816
SGLY,666136,3.736842105263158,0.002489245052631579
RAYE,99051,25.0,0.002476275
FXNAX,449332,5.5,0.002471326
OXBR,731942,3.3684210526315788,0.0024654888421052627
DUSQX,88025,28.0,0.0024647
RUCHCORP,76,32421.0,0.002463996
XELB,2649170,0.9285714285714286,0.002459943571428571
FAIL,117019,21.0,0.002457399
BPT,769058,3.192982456140351,0.0024555887017543862
PEX,67842,36.142857142857146,0.0024520037142857147
ACGYX,347903,7.0,0.002435321
CZMWY,11924,203.0,0.002420572
FBCV,92690,26.1,0.002419209
APDN,803620,3.0,0.00241086
AGT,106711,22.555555555555557,0.002406925888888889
IPW,1640871,1.4666666666666666,0.0024066108
LND,500179,4.8,0.0024008591999999996
NCBDY,55031,43.6,0.0023993516000000003
NLR,44489,53.9,0.0023979571
VNAM,92148,26.0,0.002395848
QCLR,95801,25.0,0.002395025
BSQR,2548124,0.9393939393939394,0.002393692242424243
TISCX,85278,28.0,0.002387784
MVO,298153,8.0,0.002385224
SSREY,87779,27.166666666666668,0.0023846628333333334
LPCN,11912508,0.2,0.0023825016
ATLS1,183000,13.0,0.002379
MJUS,463625,5.111111111111111,0.0023696388888888886
PRPO,2674537,0.8846153846153846,0.002365936576923077
EAOM,95640,24.714285714285715,0.002363674285714286
LZRFY,337667,7.0,0.002363669
PRFIX,138941,17.0,0.002361997
SEED,339854,6.923076923076923,0.0023528353846153844
SQFT,833329,2.8181818181818183,0.0023484726363636366
IGIFF,65093,36.0,0.002343348
GRVI,297399,7.875,0.002342017125
PLD1,13930,168.0,0.00234024
ITP,2846175,0.8214285714285714,0.002337929464285714
TGINX,259628,9.0,0.002336652
BMBN,146018,16.0,0.002336288
HYMTF,26847,87.0,0.002335689
IBTL,96398,24.2,0.0023328316000000003
BRN,932832,2.5,0.00233208
TROO,573941,4.052631578947368,0.0023259714210526316
WKEY,786199,2.9565217391304346,0.0023244144347826083
LITM,464332,5.0,0.00232166
GMET,80509,28.833333333333332,0.002321342833333333
VLON,478975,4.846153846153846,0.0023211865384615386
FIVFX,82829,28.0,0.002319212
KBND,68592,33.75,0.00231498
EDZ,276785,8.357142857142858,0.002313131785714286
MINM,2773330,0.8333333333333334,0.0023111083333333337
SMCG,328609,7.0,0.002300263
FNGG,100000,23.0,0.0023
BNTC,1590938,1.4444444444444444,0.0022980215555555555
FBSI1,143502,16.0,0.002296032
BNKU,42332,54.2,0.0022943944
ACRX,30259774,0.07575757575757576,0.0022924071212121213
VBIAX,46955,48.666666666666664,0.002285143333333333
AIIQ,91912,24.833333333333332,0.002282481333333333
PYN,253536,9.0,0.002281824
LGHL,3421951,0.6666666666666666,0.0022813006666666663
VCLAX,190065,12.0,0.00228078
MRAI,551498,4.133333333333334,0.0022795250666666667
HLEMX,38561,59.0,0.002275099
SRYB,151438,15.0,0.00227157
CAAS,1111980,2.04,0.0022684392
TRBCX,11570,195.75,0.0022648275
FEUS,41531,54.333333333333336,0.002256517666666667
GCTAY,98000,23.0,0.002254
JT,2534867,0.8888888888888888,0.002253215111111111
SPSK,118080,19.0,0.00224352
VEXAX,16256,138.0,0.002243328
WKSP,1590934,1.40625,0.0022372509375
FIHD,10095,221.2,0.002233014
TMVWY,369936,6.0,0.002219616
FTXG,96455,23.0,0.002218465
RJZ,200789,11.0,0.002208679
TATT,430417,5.125,0.002205887125
CMHF,91400,24.0,0.0021936
SWISX,98515,22.166666666666668,0.002183749166666667
AKRIX,33148,65.83333333333333,0.002182243333333333
GLIF,77181,28.25,0.00218036325
